Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2579","Sesameseed Oil","2019","2019","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2018","2018","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2019","2019","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2582","Maize Germ Oil","2018","2018","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2582","Maize Germ Oil","2019","2019","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2586","Oilcrops Oil, Other","2018","2018","g/cap/d","0.02","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2586","Oilcrops Oil, Other","2019","2019","g/cap/d","0.02","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2601","Tomatoes and products","2018","2018","g/cap/d","1.12","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2601","Tomatoes and products","2019","2019","g/cap/d","1.08","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2602","Onions","2018","2018","g/cap/d","0.47","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2602","Onions","2019","2019","g/cap/d","0.49","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2605","Vegetables, other","2018","2018","g/cap/d","4.2","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2605","Vegetables, other","2019","2019","g/cap/d","4.9","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2611","Oranges, Mandarines","2018","2018","g/cap/d","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2611","Oranges, Mandarines","2019","2019","g/cap/d","0.05","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2612","Lemons, Limes and products","2018","2018","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","674","Protein supply quantity (g/capita/day)","S2612","Lemons, Limes and products","2019","2019","g/cap/d","0","E","Estimated value"
